match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
1,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Group,Sunrisers Hyderabad,field,201,9,203,4,Royal Challengers Bengaluru,Wickets,6,JA Duffy,Phil Salt,90.0,Bhuvneshwar Kumar,5/37
2,2026-03-29,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Group,Mumbai Indians,field,220,4,224,4,Mumbai Indians,Wickets,6,SN Thakur,Ajinkya Rahane,103.0,Varun Chakravarthy,2/26
3,2026-03-30,"Barsapara Cricket Stadium, Guwahati",Chennai Super Kings,Rajasthan Royals,Group,Chennai Super Kings,field,127,10,128,2,Rajasthan Royals,Wickets,8,N Burger,Riyan Parag,51.0,Noor Ahmad,4/37
4,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,Punjab Kings,Group,Punjab Kings,bat,162,6,165,7,Punjab Kings,Wickets,3,C Connolly,Nehal Wadhera,36.0,Mohammed Siraj,4/26
5,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Group,Lucknow Super Giants,field,141,10,145,4,Delhi Capitals,Wickets,6,Sameer Rizvi,Ravi Bishnoi,115.0,Mitchell Starc,5/14
6,2026-04-02,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,Group,Kolkata Knight Riders,field,226,8,161,10,Sunrisers Hyderabad,Runs,65,Nithish Kumar Reddy,Angkrish Raghuvanshi,79.0,Varun Chakravarthy,5/24
7,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Group,Punjab Kings,field,209,5,210,5,Punjab Kings,Wickets,5,Priyansh Arya,Nehal Wadhera,86.0,Arshdeep Singh,3/36
8,2026-04-04,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Group,Mumbai Indians,bat,162,6,164,4,Delhi Capitals,Wickets,6,Sameer Rizvi,Kuldeep Yadav,91.0,Mitchell Starc,5/27
9,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Group,Rajasthan Royals,field,210,6,204,8,Rajasthan Royals,Runs,6,Ravi Bishnoi,Sai Sudharsan,133.0,Jofra Archer,5/33
10,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Group,Lucknow Super Giants,field,156,9,160,5,Lucknow Super Giants,Wickets,5,Mohammed Shami,Ayush Badoni,110.0,Ravi Bishnoi,5/37
